         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1433    0.002    0.000    0.002    0.000 parallel.py:206(__init__)
     1263    0.020    0.000    0.061    0.000 parallel.py:473(__init__)
     1263    0.010    0.000    4.053    0.003 parallel.py:543(_initialize_backend)
     1263    0.004    0.000    0.009    0.000 parallel.py:56(get_active_backend)
     1263    0.003    0.000  128.525    0.102 parallel.py:568(_terminate_backend)
     1433    0.010    0.000    0.085    0.000 parallel.py:572(_dispatch)
     2696    0.022    0.000    0.209    0.000 parallel.py:603(dispatch_one_batch)
     1263    0.001    0.000    0.001    0.000 parallel.py:628(_print)
     1263    0.016    0.000    1.138    0.001 parallel.py:684(retrieve)
     1263    0.043    0.000  134.063    0.106 parallel.py:742(__call__)
       18    0.000    0.000    0.000    0.000 pickle.py:275(whichmodule)
      144    0.004    0.000    0.027    0.000 pool.py:150(Process)
     1263    0.054    0.000    3.530    0.003 pool.py:153(__init__)
       36    0.000    0.000    0.000    0.000 pool.py:194(__init__)
     1263    0.123    0.000    2.675    0.002 pool.py:225(_repopulate_pool)
       18    0.001    0.000    0.001    0.000 pool.py:287(__init__)
       36    0.000    0.000    0.000    0.000 pool.py:302(register)
       36    0.000    0.000    0.011    0.000 pool.py:332(__init__)
     1433    0.007    0.000    0.062    0.000 pool.py:349(apply_async)
       36    0.000    0.000    0.000    0.000 pool.py:355(_make_methods)
       18    0.000    0.000    0.003    0.000 pool.py:369(send)
       18    0.000    0.000    0.004    0.000 pool.py:383(put)
       18    0.001    0.000    0.314    0.017 pool.py:410(__init__)
       18    0.000    0.000    0.012    0.001 pool.py:422(_setup_queues)
       18    0.002    0.000    0.005    0.000 pool.py:432(delete_folder)
       18    0.002    0.000    0.322    0.018 pool.py:513(__init__)
     1263    0.003    0.000    0.004    0.000 pool.py:531(close)
     1263    0.005    0.000  128.376    0.102 pool.py:537(terminate)
       18    0.001    0.000    1.264    0.070 pool.py:552(_help_stuff_finish)
     1263    0.043    0.000  128.357    0.102 pool.py:561(_terminate_pool)
       18    0.001    0.000    1.299    0.072 pool.py:602(terminate)
     1433    0.006    0.000    0.021    0.000 pool.py:619(__init__)
     1433    0.002    0.000    0.002    0.000 pool.py:627(ready)
     1433    0.002    0.000    1.110    0.001 pool.py:634(wait)
     1433    0.005    0.000    1.117    0.001 pool.py:637(get)
     9960    0.091    0.000    0.535    0.000 pool.py:783(Process)
     1245    0.003    0.000    3.219    0.003 pool.py:788(__init__)
     1245    0.006    0.000    0.068    0.000 pool.py:791(_setup_queues)
     1245    0.010    0.000    0.094    0.000 pool.py:797(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 popen_fork.py:13(Popen)
      144    0.007    0.000    0.178    0.001 popen_fork.py:16(__init__)
      813    0.003    0.000    0.020    0.000 popen_fork.py:24(poll)
       21    0.001    0.000    0.014    0.001 popen_fork.py:43(wait)
       69    0.002    0.000    0.002    0.000 popen_fork.py:53(terminate)
      144    0.024    0.000    0.161    0.001 popen_fork.py:63(_launch)
       18    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
       19    0.000    0.000    0.000    0.000 posixpath.py:331(normpath)
       19    0.000    0.000    0.001    0.000 posixpath.py:369(abspath)
       38    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       19    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
       19    0.000    0.000    0.000    0.000 posixpath.py:75(join)
       69    0.001    0.000    0.003    0.000 process.py:112(terminate)
       21    0.000    0.000    0.014    0.001 process.py:118(join)
      144    0.000    0.000    0.001    0.000 process.py:128(is_alive)
      144    0.000    0.000    0.000    0.000 process.py:146(name)
      144    0.000    0.000    0.001    0.000 process.py:150(name)
       18    0.000    0.000    0.000    0.000 process.py:155(daemon)
      144    0.000    0.000    0.000    0.000 process.py:162(daemon)
      144    0.000    0.000    0.002    0.000 process.py:181(exitcode)
       21    0.000    0.000    0.000    0.000 process.py:190(ident)
       90    0.000    0.000    0.000    0.000 process.py:35(current_process)
      144    0.003    0.000    0.007    0.000 process.py:52(_cleanup)
      144    0.015    0.000    0.023    0.000 process.py:71(__init__)
      288    0.001    0.000    0.001    0.000 process.py:83(<genexpr>)
      144    0.012    0.000    0.219    0.002 process.py:95(start)
        1    0.000    0.000    0.000    0.000 py3k.py:37(asstr)
     2678    0.018    0.000    0.064    0.000 queue.py:115(put)
     3753    0.003    0.000    0.003    0.000 queue.py:199(_init)
     2678    0.002    0.000    0.003    0.000 queue.py:206(_put)
     3753    0.022    0.000    0.087    0.000 queue.py:27(__init__)
      736    0.001    0.000    0.002    0.000 random.py:223(_randbelow)
      584    0.001    0.000    0.002    0.000 random.py:253(choice)
       17    0.001    0.000    0.003    0.000 random.py:283(sample)
        1    0.000    0.000    0.000    0.000 random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
        1    0.000    0.000    0.000    0.000 reduction.py:43(register)
     2490    0.008    0.000    0.061    0.000 shape_base.py:182(vstack)
     2490    0.005    0.000    0.026    0.000 shape_base.py:234(<listcomp>)
     5013    0.020    0.000    0.034    0.000 shape_base.py:63(atleast_2d)
        1    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 stats.py:1587(scoreatpercentile)
        1    0.000    0.000    0.000    0.000 stats.py:1667(_compute_qth_percentile)
       72    0.000    0.000    0.003    0.000 synchronize.py:115(_make_name)
       72    0.000    0.000    0.006    0.000 synchronize.py:162(__init__)
       72    0.002    0.000    0.006    0.000 synchronize.py:51(__init__)
       72    0.000    0.000    0.000    0.000 synchronize.py:91(_make_methods)
       73    0.000    0.000    0.001    0.000 tempfile.py:146(rng)
       73    0.000    0.000    0.003    0.000 tempfile.py:157(__next__)
       73    0.000    0.000    0.002    0.000 tempfile.py:160(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:163(_candidate_tempdir_list)
        1    0.000    0.000    0.004    0.004 tempfile.py:188(_get_default_tempdir)
       18    0.000    0.000    0.004    0.000 tempfile.py:289(gettempdir)
     3789    0.025    0.000  126.859    0.033 threading.py:1024(join)
     5070    0.032    0.000  126.832    0.025 threading.py:1062(_wait_for_tstate_lock)
     9960    0.005    0.000    0.005    0.000 threading.py:1076(name)
     9960    0.012    0.000    0.012    0.000 threading.py:1087(name)
     1281    0.005    0.000    0.010    0.000 threading.py:1104(is_alive)
    13749    0.008    0.000    0.008    0.000 threading.py:1120(daemon)
    13749    0.017    0.000    0.020    0.000 threading.py:1136(daemon)
    41266    0.044    0.000    0.060    0.000 threading.py:1230(current_thread)
    26441    0.175    0.000    0.175    0.000 threading.py:215(__init__)
    19105    0.018    0.000    0.034    0.000 threading.py:239(__enter__)
    19105    0.021    0.000    0.028    0.000 threading.py:242(__exit__)
    15116    0.010    0.000    0.016    0.000 threading.py:248(_release_save)
    15116    0.017    0.000    0.034    0.000 threading.py:251(_acquire_restore)
    19039    0.013    0.000    0.030    0.000 threading.py:254(_is_owned)
    15116    0.131    0.000    2.549    0.000 threading.py:263(wait)
     3923    0.033    0.000    0.110    0.000 threading.py:334(notify)
